,baro,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
169,361.2601107,-2.702655,3.2618249999999995,-0.7700850000000017,0.02424262331025,0.01069886831555,0.0055152404358999995
170,361.2601107,-2.70756,3.2618250000000004,-0.7749900000000007,0.02186024888125,0.0067456975595499985,0.0051225413542000005
171,361.2601107,-2.7124649999999995,3.25692,-0.7700850000000017,0.01946914780625,0.003473205212049999,0.0052534410482500005
172,361.2601107,-2.71737,3.2569199999999996,-0.7700849999999999,0.01808161105075,0.0016929693750499994,0.0047472955652
173,361.2601106999999,-2.71737,3.2569199999999996,-0.7651800000000009,0.01688606051275,0.0029583330830499992,0.0038920842317499995
174,361.2601106999999,-2.71737,3.25692,-0.7602750000000018,0.018456856839750003,0.00345575192005,0.00328121899373
175,361.2601106999999,-2.722275,3.2569199999999996,-0.7651800000000009,0.01953896097575,0.005235987756949999,0.00322013246973
176,361.2601106999999,-2.722275,3.2618249999999995,-0.760275,0.01945169451315,0.006841690668950001,0.00372627795273
177,361.2601107,-2.722275,3.2618249999999995,-0.7651800000000009,0.017819811662399997,0.00714712328795,0.005436700619730001
178,361.264418605,-2.71737,3.2569199999999996,-0.7700849999999999,0.0147043989476,0.00655371134245,0.00841248699423
179,361.26872650999996,-2.71737,3.252015,-0.7700849999999999,0.009677850702100001,0.00495673507685,0.013325588838230002
180,361.273034415,-2.722275,3.2569199999999996,-0.7700849999999999,0.0051749012321,0.00239982772235,0.020909044436630005
181,361.27734232,-2.7271799999999997,3.25692,-0.7651800000000009,0.0018151424221000002,0.0011344640148499997,0.027523842302080003
182,361.281650225,-2.722275,3.252014999999999,-0.7602750000000018,-0.0006457718231999997,0.0002792526813499998,0.03269001688808
183,361.28595813000004,-2.7271799999999997,3.252015,-0.755370000000001,-0.002713986987,0.00131772358635,0.03773401842608
184,361.290266035,-2.732085,3.252015,-0.7455599999999993,-0.003089232776,0.0035342917363500002,0.04380776422503
185,361.29457394,-2.7271799999999997,3.252015,-0.7504650000000002,-0.0033946653950999994,0.00733910950585,0.04778711491933
186,361.298881845,-2.73699,3.2618249999999995,-0.7504650000000002,-0.0021554816261,0.011737339220850001,0.05128650006933
187,361.30318975,-2.741895,3.26673,-0.755370000000001,8.726646400000238e-06,0.01558579022135,0.05609488215879001
188,361.307497655,-2.741895,3.271635,-0.7602750000000018,0.0017366026059000002,0.01792453141885,0.05926265475133
189,361.31180556,-2.7467999999999995,3.27654,-0.7651800000000026,0.0017802358372,0.018701202936,0.06220353454093001
190,361.316113465,-2.7418950000000004,3.27654,-0.7700849999999999,0.0003490658504500003,0.018500490072099997,0.06447246256832999
191,361.32042136999996,-2.7418950000000004,3.28635,-0.774989999999999,-0.0010908307825499995,0.0181514242216,0.06511823439158
192,361.324729275,-2.73699,3.2912549999999996,-0.7749900000000007,-0.0018064157755499997,0.01576904979245,0.06414085001033
193,361.32903718,-2.73699,3.2912549999999996,-0.7749900000000007,-0.00237364778205,0.013927727431449998,0.06346889824827999
194,361.333345085,-2.73699,3.2912550000000005,-0.7749900000000007,-0.0035953782585499993,0.01339540200945,0.063224552153
195,361.33765299000004,-2.73699,3.2961599999999995,-0.7749900000000007,-0.004555309347049999,0.013569934934550002,0.06194173515295
196,361.341960895,-2.73699,3.2961599999999995,-0.7749900000000007,-0.00360410490495,0.01378810109085,0.05957681401645
197,361.3462688000001,-2.7369899999999996,3.2961599999999995,-0.774989999999999,-0.002199114856949999,0.014433872914349999,0.0562170552064
198,361.3462688000001,-2.741895,3.301065,-0.7749900000000007,-0.0005672320064499994,0.015376350710350001,0.052220251219399993
199,361.3462688000001,-2.7467999999999995,3.30597,-0.7798949999999998,0.0024434609530500015,0.015140731261350002,0.046574111089549994
200,361.3462688000001,-2.73699,3.301065,-0.7848000000000006,0.0045989425790500015,0.014285519927850002,0.03851941659315
201,361.3462688000001,-2.73699,3.2961599999999995,-0.7848000000000006,0.005698500007550001,0.01284562329485,0.03227113787063
202,361.3462688,-2.73699,3.301065,-0.7848000000000006,0.0061261056743,0.01197295866895,0.027794368339129998
203,361.3462688,-2.7271799999999997,3.30597,-0.7848000000000006,0.0077143552936,0.01033234917195,0.02281145332488
204,361.3462688,-2.722275,3.30597,-0.7848000000000006,0.0089971722941,0.00898844564795,0.01644972819938
205,361.3462688,-2.7271799999999997,3.30597,-0.7798949999999998,0.0118333323285,0.00823795406945,0.01200786525338
206,361.3462688,-2.7222750000000002,3.2961599999999995,-0.7749900000000007,0.013997540600999999,0.007827801694950001,0.007897614865380001
207,361.3462688,-2.71737,3.2912549999999996,-0.7749900000000007,0.015193091138499999,0.007714355293450001,0.00230383461238
208,361.3462688,-2.7222750000000002,3.2863499999999997,-0.7798949999999998,0.015742869853,0.00789761486495,-0.0013177235856700002
209,361.3462688,-2.7222750000000002,3.281445,-0.7847999999999988,0.0163275551522,0.0078190750486,-0.0042586033752700005
210,361.3462688,-2.7271799999999997,3.2912549999999996,-0.8044200000000004,0.01610938899595,0.006475171524500001,-0.0048956485522699995
211,361.3462688,-2.7222750000000002,3.281445,-0.8093250000000012,0.01488765851945,0.0032899456394999997,-0.0029757863750699996
212,361.3462688,-2.7271799999999997,3.27654,-0.8142300000000002,0.01117010721245,0.0018238690676500003,0.00235619448993
213,361.3462688000001,-2.71737,3.27654,-0.8093250000000012,0.00607374579645,-0.0016929693748499995,0.00756600230693
214,361.3462688000001,-2.712465,3.271635,-0.8044200000000004,0.0028536133264500003,-0.004825835382349999,0.01295906969473
