0.0,0.01,-0.06,0.0011,0.0,0.0011,19.0625,17.875,1.875,96912.9375
0.0,0.03,-0.09,0.0,-0.0011,-0.0011,19.0625,17.875,1.875,96913.2188
0.0,0.0,-0.11,0.0022,-0.0011,0.0,19.0625,17.875,1.875,96913.0469
0.01,0.01,-0.1,-0.0011,-0.0011,0.0033,19.0625,17.875,1.875,96914.4375
0.01,-0.02,-0.06,0.0,0.0,0.0011,19.0625,18.5625,3.0625,96913.9219
0.02,-0.02,-0.09,0.0,0.0,0.0011,19.0625,18.5625,3.0625,96913.9219
0.0,-0.01,-0.08,0.0022,-0.0033,0.0,19.0625,18.5625,3.0625,96913.3125
-0.01,-0.01,-0.12,-0.0011,-0.0033,0.0011,19.0625,18.5625,3.0625,96914.1562
0.0,0.0,-0.08,0.0,0.0011,-0.0033,19.0625,18.5625,3.0625,96914.3906
0.0,0.03,-0.06,0.0,0.0055,0.0,18.6875,18.5625,1.5625,96914.4688
0.0,0.03,-0.09,0.0011,0.0011,0.0011,18.6875,18.5625,1.5625,96913.5781
0.0,0.02,-0.11,0.0011,0.0011,0.0011,18.6875,18.5625,1.5625,96913.6719
0.0,0.01,-0.1,0.0011,0.0033,0.0,18.6875,18.5625,1.5625,96914.0625
0.0,-0.01,-0.06,-0.0022,0.0,0.0,18.6875,18.5625,1.5625,96914.2188
0.0,-0.02,-0.07,0.0,-0.0044,0.0011,18.6875,19.375,3.0625,96913.6719
0.01,-0.01,-0.07,0.0,-0.0044,0.0011,18.6875,19.375,3.0625,96913.7969
0.0,0.0,-0.08,0.0,0.0011,0.0011,18.6875,19.375,3.0625,96914.125
0.0,-0.02,-0.11,0.0,0.0011,-0.0011,18.6875,19.375,3.0625,96913.5312
0.0,0.0,-0.1,-0.0011,-0.0011,-0.0011,18.6875,19.375,3.0625,96913.7656
0.01,0.02,-0.06,-0.0011,0.0022,0.0022,19.75,19.0,1.875,96914.5781
0.0,0.04,-0.07,0.0,0.0022,0.0022,19.75,19.0,1.875,96913.6406
0.0,0.01,-0.06,0.0,-0.0022,-0.0011,19.75,19.0,1.875,96913.5469
0.0,0.0,-0.11,0.0011,0.0011,-0.0011,19.75,19.0,1.875,96913.7188
0.0,0.01,-0.12,0.0,-0.0022,-0.0011,19.75,19.0,1.875,96914.75
0.0,-0.01,-0.07,0.0011,-0.0022,0.0011,19.0625,19.375,1.5625,96913.9062
0.01,-0.03,-0.09,-0.0011,-0.0011,0.0022,19.0625,19.375,1.5625,96913.8281
0.0,-0.01,-0.07,-0.0011,-0.0022,-0.0011,19.0625,19.375,1.5625,96912.5938
0.02,0.0,-0.07,-0.0011,-0.0022,0.0011,19.0625,19.375,1.5625,96914.2656
0.0,0.03,-0.07,-0.0011,-0.0011,0.0,19.0625,19.375,1.5625,96911.9688
0.0,0.04,-0.06,-0.0022,0.0011,0.0,19.375,18.5625,2.25,96914.7031
0.0,0.01,-0.09,0.0,0.0011,-0.0011,19.375,18.5625,2.25,96912.1094
0.01,0.01,-0.06,0.0022,0.0011,-0.0011,19.375,18.5625,2.25,96913.5
0.03,0.0,-0.11,0.0011,-0.0044,0.0011,19.375,18.5625,2.25,96914.0781
0.02,-0.01,-0.06,0.0011,0.0022,0.0011,19.375,18.5625,2.25,96913.5781
