ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2,p2
0.01,-0.05,-0.11,-0.0011,0.0022,0.0,-18.5625,10.0,8.75,435.8372887049004
0.0,-0.02,-0.12,-0.0011,0.0,-0.0022,-18.5625,10.0,8.75,435.77220185653226
0.03,-0.02,-0.12,0.0,-0.0044,-0.0011,-18.875,10.75,9.5625,435.79118113907685
0.02,-0.04,-0.11,0.0044,-0.0044,0.0022,-18.875,10.75,9.5625,435.7233783117286
0.0,-0.02,-0.12,0.0,0.0011,-0.0011,-18.875,10.75,9.5625,435.76406169027155
0.0,-0.03,-0.13,-0.0033,0.0044,0.0,-19.6875,10.375,9.1875,435.7694855743264
0.03,-0.03,-0.08,0.0011,0.0033,-0.0011,-19.6875,10.375,9.1875,435.7966050374022
0.01,-0.01,-0.15,-0.0011,0.0,0.0011,-19.6875,10.375,9.1875,435.73016464912905
-0.02,-0.06,-0.13,0.0011,-0.0011,0.0022,-19.6875,10.375,9.1875,435.8060990358928
-0.03,-0.03,-0.12,0.0011,-0.0022,0.0011,-18.1875,9.5625,9.5625,435.84949036514536
0.01,0.0,-0.14,-0.0011,-0.0011,-0.0011,-18.1875,9.5625,9.5625,435.7247407857592
0.02,0.0,-0.13,-0.0033,0.0044,0.0011,-18.1875,9.5625,9.5625,435.75728400877
0.0,-0.06,-0.08,-0.0011,0.0044,0.0011,-18.875,10.75,9.5625,435.7071154190601
0.0,-0.07,-0.12,0.0022,0.0,0.0,-18.875,10.75,9.5625,435.78440343974836
0.02,-0.04,-0.1,0.0,0.0011,-0.0022,-18.875,10.75,9.5625,435.7491438542857
0.03,-0.01,-0.11,-0.0011,0.0044,-0.0022,-19.25,9.25,9.1875,435.7898273345024
-0.02,-0.01,-0.11,0.0022,-0.0022,0.0022,-19.25,9.25,9.1875,435.82100827602767
0.0,-0.06,-0.15,0.0,0.0,-0.0011,-19.25,9.25,9.1875,435.7003290968303
0.0,-0.04,-0.12,0.0,0.0087,-0.0011,-19.25,9.25,9.1875,435.68677382207665
0.04,-0.05,-0.08,-0.0011,0.0044,-0.0011,-19.25,10.375,8.0625,435.82100827602767
0.07,-0.02,-0.13,0.0033,-0.0011,-0.0011,-19.25,10.375,8.0625,435.75456773049456
0.0,-0.03,-0.12,0.0011,-0.0011,-0.0011,-19.25,10.375,8.0625,435.66100843538254
-0.02,-0.04,-0.12,0.0,-0.0022,0.0,-18.875,10.0,9.5625,435.76406169027155
0.0,-0.05,-0.12,0.0,-0.0055,0.0011,-18.875,10.0,9.5625,435.67320988700175
0.01,-0.05,-0.14,-0.0011,0.0033,-0.0011,-18.875,10.0,9.5625,435.7776170666448
0.02,-0.04,-0.1,-0.0022,0.0022,0.0011,-18.875,10.0,9.5625,435.7179631301028
0.0,-0.05,-0.13,0.0011,-0.0011,0.0,-18.875,10.75,9.5625,435.78846485187313
0.03,-0.05,-0.12,0.0022,-0.0011,0.0011,-18.875,10.75,9.5625,435.753213930726
0.02,-0.03,-0.11,-0.0011,0.0011,0.0011,-18.875,10.75,9.5625,435.70168288965783
-0.01,-0.02,-0.11,-0.0011,0.0033,0.0011,-19.25,11.0625,8.75,435.6474445342104
0.0,-0.04,-0.11,0.0011,0.0011,0.0011,-19.25,11.0625,8.75,435.85355180290867
0.0,-0.06,-0.12,0.0022,-0.0011,0.0011,-19.25,11.0625,8.75,435.9308495997173
0.0,-0.03,-0.11,0.0022,0.0011,-0.0022,-19.25,11.0625,8.75,435.6298192996542
0.01,-0.05,-0.12,0.0011,0.0044,0.0011,-18.875,10.0,9.5625,435.610840314152
0.0,-0.03,-0.14,0.0011,-0.0011,0.0,-18.875,10.0,9.5625,435.7288108525629
0.0,-0.02,-0.1,-0.0011,-0.0011,0.0011,-18.875,10.0,9.5625,435.8711860982534
-0.02,-0.02,-0.1,0.0,0.0033,-0.0022,-19.25,10.375,9.1875,435.79118113907685
0.03,-0.04,-0.09,0.0011,0.0011,-0.0011,-19.25,10.375,9.1875,435.76135408842254
0.02,-0.03,-0.16,0.0,0.0011,0.0022,-19.25,10.375,9.1875,435.7898273345024
0.0,-0.04,-0.1,0.0011,-0.0055,0.0,-19.25,10.375,9.1875,435.66643226522353
-0.01,-0.05,-0.09,0.0011,-0.0065,0.0,-19.25,10.75,9.5625,435.73829611043226
0.03,-0.02,-0.12,-0.0011,0.0022,-0.0011,-19.25,10.75,9.5625,435.8589844123355
-0.02,-0.05,-0.11,-0.0022,0.0055,-0.0011,-19.25,10.75,9.5625,435.70982300666816
0.0,-0.03,-0.13,0.0,0.0011,0.0022,-19.25,10.75,9.5625,435.7437199809349
0.02,-0.06,-0.08,0.0011,-0.0011,0.0022,-20.0625,10.375,9.1875,435.86711597524356
0.0,-0.04,-0.12,0.0,-0.0011,-0.0011,-20.0625,10.375,9.1875,435.6691398421472
0.0,-0.01,-0.13,0.0011,0.0,-0.0011,-20.0625,10.375,9.1875,435.9376273953232
0.04,-0.03,-0.08,0.0,0.0011,0.0,-18.5625,10.75,9.5625,435.7708393762298
0.05,-0.04,-0.12,0.0,-0.0022,0.0011,-18.5625,10.75,9.5625,435.6908351957386
-0.02,-0.01,-0.12,0.0011,0.0011,0.0,-18.5625,10.75,9.5625,435.71117680073536
-0.05,-0.02,-0.11,0.0011,0.0022,-0.0011,-18.5625,10.75,9.5625,435.6650784770298
0.01,-0.06,-0.13,0.0022,-0.0033,0.0,-19.6875,10.75,9.1875,435.73287224278766
0.02,-0.07,-0.14,0.0022,0.0011,0.0011,-19.6875,10.75,9.1875,435.8589844123355
0.02,-0.11,-0.09,-0.0022,0.0065,-0.0011,-19.6875,10.75,9.1875,435.7437199809349
0.04,-0.07,-0.15,0.0,-0.0022,0.0033,-20.0625,10.375,10.375,435.77490946123436
0.03,-0.05,-0.1,-0.0022,0.0,0.0022,-20.0625,10.375,10.375,435.77490946123436
-0.03,0.0,-0.08,-0.0011,0.0011,0.0011,-20.0625,10.375,10.375,435.77490946123436
-0.03,0.03,-0.07,0.0,-0.0044,0.0,-20.0625,10.375,10.375,435.72609458178914
0.06,-0.01,-0.12,0.0011,-0.0011,0.0011,-18.875,10.375,8.75,435.81152294205924
0.0,-0.08,-0.19,0.0011,0.0055,-0.0011,-18.875,10.375,8.75,435.70575294735625
-0.06,-0.09,-0.15,0.0022,0.0,0.0011,-18.875,10.375,8.75,435.7505063317203
0.0,-0.09,-0.12,0.0011,-0.0044,0.0011,-18.5625,10.375,9.5625,435.7179631301028
0.05,-0.01,-0.11,-0.0011,0.0022,-0.0011,-18.5625,10.375,9.5625,435.7342260398851
0.01,0.02,-0.13,-0.0022,0.0065,-0.0022,-18.5625,10.375,9.5625,435.7220245160578
0.01,-0.01,-0.08,-0.0011,0.0065,0.0,-18.5625,10.375,9.5625,435.830502296989
0.05,-0.11,-0.14,0.0022,-0.0033,0.0,-19.6875,10.375,9.5625,435.5728737699099
0.01,-0.07,-0.17,0.0022,-0.0033,0.0,-19.6875,10.375,9.5625,435.85626810726546
0.02,-0.02,-0.08,0.0,-0.0022,0.0,-19.6875,10.375,9.5625,435.7559215304401
0.01,-0.01,-0.11,0.0,-0.0065,0.0033,-20.375,10.375,8.75,435.7776170666448
0.0,0.0,-0.1,-0.0033,0.0022,-0.0011,-20.375,10.375,8.75,435.73829611043226
-0.02,-0.01,-0.11,-0.0011,0.0109,0.0011,-20.375,10.375,8.75,435.7315184458674
0.04,-0.05,-0.13,-0.0033,0.0142,-0.0011,-18.875,10.0,8.75,435.69897530418467
0.05,-0.04,-0.14,0.0033,-0.0065,0.0,-18.875,10.0,8.75,435.6474445342104
0.02,-0.08,-0.12,0.0033,-0.0109,0.0,-18.875,10.0,8.75,435.7369423128036
-0.03,-0.04,-0.15,0.0022,-0.0055,0.0011,-18.875,10.0,8.75,435.79118113907685
0.0,-0.05,-0.13,0.0011,0.0022,-0.0011,-19.6875,10.0,8.75,435.6881276131186
0.02,-0.02,-0.13,-0.0022,0.0065,0.0,-19.6875,10.0,8.75,435.74236618258806
0.01,-0.01,-0.12,-0.0011,0.0065,0.0,-19.6875,10.0,8.75,435.70575294735625
0.01,-0.02,-0.1,0.0011,0.0022,0.0,-19.6875,10.0,8.75,435.799312648509
0.0,-0.03,-0.12,0.0022,-0.0044,-0.0022,-19.6875,10.375,10.375,435.7410123844232
-0.02,-0.06,-0.14,0.0033,-0.0076,-0.0022,-19.6875,10.375,10.375,435.830502296989
0.0,-0.06,-0.11,0.0,0.0,-0.0011,-19.6875,10.375,10.375,435.68677382207665
0.02,-0.05,-0.12,-0.0011,0.0044,0.0,-20.375,10.375,9.5625,435.7369423128036
0.0,-0.06,-0.1,-0.0022,0.0076,0.0022,-20.375,10.375,9.5625,435.68677382207665
-0.01,-0.04,-0.12,0.0,0.0033,0.0011,-20.375,10.375,9.5625,435.68270377186514
0.03,0.0,-0.12,0.0011,-0.0022,0.0011,-20.375,10.375,9.5625,435.6637246890131
0.06,-0.02,-0.1,-0.0011,-0.0022,0.0011,-19.25,10.75,8.375,435.73829611043226
0.03,-0.05,-0.14,-0.0011,-0.0022,-0.0011,-19.25,10.75,8.375,435.78440343974836
-0.03,-0.05,-0.12,0.0,-0.0022,0.0,-19.25,10.75,8.375,435.6881276131186
-0.02,-0.07,-0.15,0.0,-0.0044,0.0011,-19.25,10.75,8.375,435.7410123844232
0.0,-0.03,-0.11,-0.0022,0.0098,-0.0011,-19.25,10.375,8.0625,435.67185609791767
0.03,-0.01,-0.12,-0.0044,0.0087,0.0,-19.25,10.375,8.0625,435.74236618258806
0.02,-0.02,-0.14,0.0,0.0065,0.0011,-19.25,10.375,8.0625,435.73287224278766
0.0,-0.04,-0.13,0.0022,-0.0022,0.0,-19.25,10.75,9.875,435.79795884286705
0.01,-0.06,-0.1,0.0022,-0.0022,0.0,-19.25,10.75,9.875,435.74236618258806
0.0,-0.04,-0.14,-0.0022,0.0011,0.0011,-19.25,10.75,9.875,435.76135408842254
0.01,-0.03,-0.1,-0.0011,0.0076,0.0,-19.25,10.75,9.875,435.69355145722506
0.02,-0.02,-0.08,-0.0022,0.0044,0.0,-19.6875,10.0,10.375,435.7179631301028
-0.03,-0.04,-0.11,-0.0011,0.0044,-0.0011,-19.6875,10.0,10.375,435.7776170666448
-0.04,-0.06,-0.14,0.0033,0.0011,-0.0011,-19.6875,10.0,10.375,435.8508441775511
0.03,-0.06,-0.15,-0.0022,0.0,0.0,-19.6875,10.0,10.375,435.6176178993859
0.03,-0.04,-0.11,0.0011,-0.0044,0.0,-19.25,9.5625,9.1875,435.86576216069307
0.0,-0.02,-0.11,-0.0011,-0.0055,0.0011,-19.25,9.5625,9.1875,435.6840575623758
0.01,-0.04,-0.12,0.0,0.0,0.0011,-19.25,9.5625,9.1875,435.9308495997173
0.02,-0.04,-0.12,0.0011,0.0033,0.0011,-18.5625,11.0625,8.75,435.86576216069307
0.01,-0.03,-0.14,-0.0011,0.0055,-0.0022,-18.5625,11.0625,8.75,435.7084692127731
0.01,-0.05,-0.11,0.0,0.0022,-0.0022,-18.5625,11.0625,8.75,435.5891451288936
0.01,-0.05,-0.13,0.0033,-0.0044,0.0022,-18.5625,11.0625,8.75,435.86711597524356
0.01,-0.04,-0.11,0.0,-0.0011,0.0,-18.875,10.75,8.75,435.6515145705007
-0.01,-0.04,-0.09,0.0,-0.0011,0.0,-18.875,10.75,8.75,435.63118176131803
0.0,-0.03,-0.12,0.0,0.0,0.0011,-18.875,10.75,8.75,435.55660243660407
0.01,-0.03,-0.11,0.0011,0.0022,0.0033,-18.875,10.75,8.75,435.8576219205616
0.0,-0.04,-0.12,0.0011,0.0033,-0.0011,-19.25,10.0,9.1875,435.610840314152
0.01,-0.06,-0.14,0.0011,0.0033,-0.0011,-19.25,10.0,9.1875,435.7789795478426
0.0,-0.02,-0.13,0.0,-0.0044,-0.0022,-19.25,10.0,9.1875,435.74507377945395
0.01,-0.06,-0.12,0.0022,-0.0044,0.0011,-19.25,10.0,9.1875,435.7708393762298
0.01,-0.03,-0.11,0.0,0.0011,0.0022,-19.6875,10.375,9.5625,435.67592614384455
-0.01,-0.03,-0.11,0.0,0.0011,0.0022,-19.6875,10.375,9.5625,435.7776170666448
0.01,-0.05,-0.14,0.0011,0.0022,0.0,-19.6875,10.375,9.5625,435.8454202506997
0.01,-0.05,-0.14,-0.0011,0.0044,0.0,-19.6875,10.375,9.5625,435.69897530418467
0.0,-0.07,-0.14,0.0,-0.0022,0.0011,-19.25,10.375,8.375,435.77220185653226
-0.01,-0.03,-0.09,0.0,-0.0022,0.0011,-19.25,10.375,8.375,435.8277946776869
0.0,-0.01,-0.13,0.0,-0.0044,0.0011,-19.25,10.375,8.375,435.7043991540023
0.02,-0.03,-0.11,0.0022,-0.0033,0.0011,-19.25,10.375,8.375,435.8006751325746
0.0,-0.06,-0.13,0.0011,0.0011,0.0,-19.6875,9.25,8.375,435.73965858643544
-0.02,-0.07,-0.1,0.0011,0.0011,0.0,-19.6875,9.25,8.375,435.7735556587948
0.01,-0.06,-0.15,0.0022,0.0044,0.0011,-19.6875,9.25,8.375,435.7369423128036
0.01,-0.05,-0.12,0.0011,0.0044,0.0,-19.6875,9.25,8.375,435.7071154190601
0.01,-0.02,-0.11,0.0011,0.0,0.0,-19.6875,10.375,8.375,435.63659689736306
0.0,-0.01,-0.08,0.0011,-0.0022,0.0011,-19.6875,10.375,8.375,435.8183006592196
0.0,-0.01,-0.1,0.0,0.0022,-0.0011,-19.6875,10.375,8.375,435.6799875132367
0.0,-0.04,-0.13,0.0,0.0022,0.0,-19.6875,10.375,8.375,435.7247407857592
-0.01,-0.06,-0.15,0.0,0.0,-0.0011,-19.25,9.5625,9.1875,435.6705023090106
0.0,-0.06,-0.11,-0.0022,0.0,-0.0011,-19.25,9.5625,9.1875,435.9172853435307
0.0,-0.02,-0.15,0.0,-0.0033,0.0022,-19.25,9.5625,9.1875,435.76676929283377
0.02,-0.02,-0.12,-0.0033,0.0011,0.0011,-19.25,9.5625,9.1875,435.81016045656213
-0.01,-0.03,-0.11,-0.0044,0.0055,0.0,-20.0625,10.0,10.0,435.76676929283377
0.01,-0.03,-0.11,-0.0022,0.0087,0.0,-20.0625,10.0,10.0,435.57558132226245
0.02,-0.06,-0.12,-0.0022,0.0033,-0.0011,-20.0625,10.0,10.0,435.7789795478426
0.05,-0.05,-0.15,0.0,-0.0055,0.0,-20.0625,10.0,10.0,435.78440343974836
-0.01,-0.03,-0.11,0.0011,0.0011,0.0,-18.875,10.375,8.0625,435.861692039828
-0.03,-0.04,-0.11,0.0,-0.0022,0.0,-18.875,10.375,8.0625,435.8169468510836
-0.01,-0.03,-0.12,0.0011,0.0022,0.0,-18.875,10.375,8.0625,435.6976215117162
0.04,-0.02,-0.09,-0.0044,0.0022,-0.0011,-18.875,10.375,8.0625,435.8264408683064
0.02,-0.04,-0.11,-0.0011,0.0022,-0.0011,-19.6875,10.375,9.5625,435.6013464954658
0.02,-0.04,-0.1,0.0,0.0011,0.0,-19.6875,10.375,9.5625,435.8372887049004
0.0,-0.05,-0.13,0.0,-0.0011,0.0011,-19.6875,10.375,9.5625,435.72744837799615
0.0,-0.03,-0.11,-0.0011,0.0011,-0.0033,-19.6875,10.375,9.5625,435.80202893857563
0.02,-0.01,-0.1,-0.0011,-0.0044,-0.0011,-19.25,10.375,9.1875,435.6555846083996
0.01,-0.03,-0.12,-0.0011,-0.0044,0.0011,-19.25,10.375,9.1875,435.6813499815316
0.03,-0.03,-0.14,0.0011,-0.0011,-0.0011,-19.25,10.375,9.1875,435.6745723544063
-0.01,-0.06,-0.13,-0.0022,0.0033,-0.0011,-19.25,10.375,9.1875,435.77626326385104
0.01,-0.04,-0.14,-0.0033,0.0022,0.0,-18.1875,11.0625,9.5625,435.7220245160578
0.05,-0.04,-0.13,0.0,0.0022,0.0,-18.1875,11.0625,9.5625,435.7288108525629
0.03,-0.04,-0.1,-0.0011,-0.0022,0.0011,-18.1875,11.0625,9.5625,435.75186013113466
-0.03,-0.01,-0.1,-0.0011,-0.0065,0.0022,-18.1875,11.0625,9.5625,435.6705023090106
-0.02,-0.01,-0.11,-0.0011,0.0,0.0,-18.5625,10.375,9.5625,435.8264408683064
0.02,-0.03,-0.12,-0.0022,0.0033,-0.0011,-18.5625,10.375,9.5625,435.6027002752921
0.03,-0.03,-0.12,-0.0011,0.0033,-0.0011,-18.5625,10.375,9.5625,435.6949052491623
0.01,-0.05,-0.12,-0.0011,0.0011,0.0,-18.5625,10.375,9.5625,435.6569383953488
0.0,-0.04,-0.11,0.0011,-0.0044,-0.0011,-19.25,10.375,8.75,435.70575294735625
0.0,-0.04,-0.1,0.0011,-0.0044,0.0011,-19.25,10.375,8.75,435.7694855743264
0.0,-0.02,-0.1,-0.0022,-0.0011,0.0011,-19.25,10.375,8.75,435.6840575623758
0.0,-0.02,-0.11,-0.0011,0.0044,-0.0011,-19.25,10.375,8.75,435.5715113159494
0.03,-0.02,-0.1,0.0,0.0022,0.0,-18.875,10.0,10.0,435.81152294205924
0.0,-0.06,-0.13,0.0,-0.0033,-0.0011,-18.875,10.0,10.0,435.79389742700374
-0.03,-0.07,-0.14,0.0,0.0,0.0033,-18.875,10.0,10.0,435.73287224278766
-0.01,-0.03,-0.12,-0.0022,0.0011,0.0,-18.875,10.0,10.0,435.7071154190601
0.01,-0.04,-0.1,-0.0011,0.0,0.0011,-18.875,10.75,8.75,435.79795884286705
0.0,-0.01,-0.14,-0.0011,0.0033,0.0011,-18.875,10.75,8.75,435.62846551626643
-0.04,-0.05,-0.13,-0.0011,0.0044,-0.0011,-18.875,10.75,8.75,435.7477900552305
0.0,-0.05,-0.12,-0.0011,0.0,0.0022,-19.25,10.75,8.375,435.78711104765284
0.02,-0.04,-0.1,-0.0011,0.0022,0.0,-19.25,10.75,8.375,435.78304963605933
0.05,-0.03,-0.12,-0.0011,-0.0033,0.0011,-19.25,10.75,8.375,435.72609458178914
-0.03,-0.02,-0.11,0.0011,-0.0044,0.0,-19.25,10.75,8.375,435.78711104765284
-0.03,-0.03,-0.11,0.0,-0.0033,0.0011,-20.0625,10.75,8.0625,435.78168715432537
0.04,-0.05,-0.15,0.0,0.0055,0.0011,-20.0625,10.75,8.0625,435.76406169027155
0.04,-0.08,-0.15,-0.0022,0.0022,0.0011,-20.0625,10.75,8.0625,435.6515145705007
