ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2,p2,optix,optiy,optiz
0.02,0.0,-0.13,-0.0033,0.0044,0.0011,-18.1875,9.5625,9.5625,435.75728400877,3.314563035964966,1.997920513153076,0.9581612944602966
0.0,-0.06,-0.08,-0.0011,0.0044,0.0011,-18.875,10.75,9.5625,435.7071154190601,3.314550399780273,1.9979079961776731,0.9581478834152222
0.0,-0.07,-0.12,0.0022,0.0,0.0,-18.875,10.75,9.5625,435.7844034397484,3.3145809173583984,1.9978772401809688,0.9581766724586488
0.02,-0.04,-0.1,0.0,0.0011,-0.0022,-18.875,10.75,9.5625,435.7491438542857,3.3145911693573,1.997872233390808,0.9581871032714844
0.03,-0.01,-0.11,-0.0011,0.0044,-0.0022,-19.25,9.25,9.1875,435.7898273345024,3.314574241638184,1.9982386827468872,0.9581938982009888
-0.02,-0.01,-0.11,0.0022,-0.0022,0.0022,-19.25,9.25,9.1875,435.82100827602767,3.3145945072174072,1.9982268810272217,0.9582148194313048
0.0,-0.06,-0.15,0.0,0.0,-0.0011,-19.25,9.25,9.1875,435.7003290968303,3.314608573913574,1.9978145360946653,0.95819890499115
0.0,-0.04,-0.12,0.0,0.0087,-0.0011,-19.25,9.25,9.1875,435.6867738220767,3.3145980834960938,1.9978631734848025,0.9582126140594482
0.04,-0.05,-0.08,-0.0011,0.0044,-0.0011,-19.25,10.375,8.0625,435.82100827602767,3.3146355152130127,1.9978506565093996,0.9582273960113524
0.07,-0.02,-0.13,0.0033,-0.0011,-0.0011,-19.25,10.375,8.0625,435.75456773049456,3.314653158187866,1.997794508934021,0.9583106637001038
0.0,-0.03,-0.12,0.0011,-0.0011,-0.0011,-19.25,10.375,8.0625,435.66100843538254,3.3146722316741943,1.9978262186050413,0.9582915902137756
-0.02,-0.04,-0.12,0.0,-0.0022,0.0,-18.875,10.0,9.5625,435.7640616902716,3.3146889209747314,1.9978238344192505,0.9583635330200196
0.0,-0.05,-0.12,0.0,-0.0055,0.0011,-18.875,10.0,9.5625,435.67320988700175,3.314697742462158,1.9976112842559812,0.9584761261940002
0.01,-0.05,-0.14,-0.0011,0.0033,-0.0011,-18.875,10.0,9.5625,435.7776170666448,3.3146960735321045,1.997581362724304,0.9584933519363404
0.02,-0.04,-0.1,-0.0022,0.0022,0.0011,-18.875,10.0,9.5625,435.7179631301028,3.314749002456665,1.9975849390029907,0.9585506916046144
0.0,-0.05,-0.13,0.0011,-0.0011,0.0,-18.875,10.75,9.5625,435.78846485187313,3.314773797988892,1.997624754905701,0.958570122718811
0.03,-0.05,-0.12,0.0022,-0.0011,0.0011,-18.875,10.75,9.5625,435.753213930726,3.3148155212402344,1.9975793361663816,0.9585953950881958
0.02,-0.03,-0.11,-0.0011,0.0011,0.0011,-18.875,10.75,9.5625,435.7016828896578,3.31486177444458,1.9975833892822263,0.9586238861083984
-0.01,-0.02,-0.11,-0.0011,0.0033,0.0011,-19.25,11.0625,8.75,435.6474445342104,3.3148863315582275,1.9976261854171755,0.9586522579193116
0.0,-0.04,-0.11,0.0011,0.0011,0.0011,-19.25,11.0625,8.75,435.8535518029087,3.314908266067505,1.997621297836304,0.9586689472198486
0.0,-0.06,-0.12,0.0022,-0.0011,0.0011,-19.25,11.0625,8.75,435.9308495997173,3.31495213508606,1.997647047042847,0.9587120413780212
0.0,-0.03,-0.11,0.0022,0.0011,-0.0022,-19.25,11.0625,8.75,435.6298192996542,3.3150362968444824,1.9976518154144287,0.958782196044922
0.01,-0.05,-0.12,0.0011,0.0044,0.0011,-18.875,10.0,9.5625,435.610840314152,3.315069913864136,1.997618317604065,0.9587859511375428
0.0,-0.03,-0.14,0.0011,-0.0011,0.0,-18.875,10.0,9.5625,435.7288108525629,3.315119743347168,1.997644305229187,0.9588221907615662
0.0,-0.02,-0.1,-0.0011,-0.0011,0.0011,-18.875,10.0,9.5625,435.8711860982534,3.3151683807373047,1.9976537227630613,0.9588783979415894
-0.02,-0.02,-0.1,0.0,0.0033,-0.0022,-19.25,10.375,9.1875,435.79118113907685,3.315202236175537,1.997601628303528,0.9588825702667236
0.03,-0.04,-0.09,0.0011,0.0011,-0.0011,-19.25,10.375,9.1875,435.76135408842254,3.315229892730713,1.997584104537964,0.9588736295700072
0.02,-0.03,-0.16,0.0,0.0011,0.0022,-19.25,10.375,9.1875,435.7898273345024,3.315307378768921,1.9976013898849487,0.9589136242866516
0.0,-0.04,-0.1,0.0011,-0.0055,0.0,-19.25,10.375,9.1875,435.66643226522353,3.315335750579834,1.9975502490997317,0.9589064717292786
-0.01,-0.05,-0.09,0.0011,-0.0065,0.0,-19.25,10.75,9.5625,435.73829611043226,3.315347671508789,1.997536063194275,0.9588767290115356
0.03,-0.02,-0.12,-0.0011,0.0022,-0.0011,-19.25,10.75,9.5625,435.8589844123355,3.3154585361480717,1.9977819919586184,0.9588263034820556
-0.02,-0.05,-0.11,-0.0022,0.0055,-0.0011,-19.25,10.75,9.5625,435.70982300666816,3.315537452697754,1.997694730758667,0.958851158618927
0.0,-0.03,-0.13,0.0,0.0011,0.0022,-19.25,10.75,9.5625,435.7437199809349,3.3155550956726074,1.9976568222045896,0.9588673114776612
0.02,-0.06,-0.08,0.0011,-0.0011,0.0022,-20.0625,10.375,9.1875,435.8671159752436,3.315601587295532,1.997617483139038,0.958874523639679
0.0,-0.04,-0.12,0.0,-0.0011,-0.0011,-20.0625,10.375,9.1875,435.6691398421472,3.315649032592773,1.9975905418396,0.9588778018951416
0.0,-0.01,-0.13,0.0011,0.0,-0.0011,-20.0625,10.375,9.1875,435.9376273953232,3.315678358078003,1.997653841972351,0.958876132965088
0.04,-0.03,-0.08,0.0,0.0011,0.0,-18.5625,10.75,9.5625,435.7708393762298,3.315713405609131,1.997622847557068,0.9588919281959534
0.05,-0.04,-0.12,0.0,-0.0022,0.0011,-18.5625,10.75,9.5625,435.6908351957386,3.315742492675781,1.9976310729980469,0.9588768482208252
-0.02,-0.01,-0.12,0.0011,0.0011,0.0,-18.5625,10.75,9.5625,435.71117680073536,3.3157670497894287,1.997627854347229,0.9588589072227478
-0.05,-0.02,-0.11,0.0011,0.0022,-0.0011,-18.5625,10.75,9.5625,435.6650784770298,3.315793037414551,1.997673749923706,0.95887553691864
0.01,-0.06,-0.13,0.0022,-0.0033,0.0,-19.6875,10.75,9.1875,435.73287224278766,3.3158254623413086,1.997602581977844,0.9588738679885864
0.02,-0.07,-0.14,0.0022,0.0011,0.0011,-19.6875,10.75,9.1875,435.8589844123355,3.3158555030822754,1.9975697994232176,0.9588789343833924
0.02,-0.11,-0.09,-0.0022,0.0065,-0.0011,-19.6875,10.75,9.1875,435.7437199809349,3.3158504962921143,1.997501254081726,0.95886492729187
0.04,-0.07,-0.15,0.0,-0.0022,0.0033,-20.0625,10.375,10.375,435.7749094612344,3.315871000289917,1.9974613189697263,0.9588621258735656
0.03,-0.05,-0.1,-0.0022,0.0,0.0022,-20.0625,10.375,10.375,435.7749094612344,3.315873861312866,1.9973727464675903,0.9588476419448853
-0.03,0.0,-0.08,-0.0011,0.0011,0.0011,-20.0625,10.375,10.375,435.7749094612344,3.315873384475708,1.997263789176941,0.9588041305541992
-0.03,0.03,-0.07,0.0,-0.0044,0.0,-20.0625,10.375,10.375,435.72609458178914,3.3158583641052246,1.99722683429718,0.9587736129760742
0.06,-0.01,-0.12,0.0011,-0.0011,0.0011,-18.875,10.375,8.75,435.8115229420592,3.315899610519409,1.9972374439239504,0.9587786197662354
0.0,-0.08,-0.19,0.0011,0.0055,-0.0011,-18.875,10.375,8.75,435.70575294735625,3.315893173217773,1.997204065322876,0.958727240562439
-0.06,-0.09,-0.15,0.0022,0.0,0.0011,-18.875,10.375,8.75,435.7505063317203,3.3158984184265137,1.9972058534622192,0.9587031006813048
0.0,-0.09,-0.12,0.0011,-0.0044,0.0011,-18.5625,10.375,9.5625,435.7179631301028,3.315908432006836,1.9970903396606443,0.9586729407310486
0.05,-0.01,-0.11,-0.0011,0.0022,-0.0011,-18.5625,10.375,9.5625,435.7342260398851,3.31591272354126,1.997098445892334,0.9586384892463684
0.01,0.02,-0.13,-0.0022,0.0065,-0.0022,-18.5625,10.375,9.5625,435.7220245160578,3.3159258365631104,1.9969643354415891,0.9585887789726256
0.01,-0.01,-0.08,-0.0011,0.0065,0.0,-18.5625,10.375,9.5625,435.830502296989,3.3159501552581787,1.9969282150268557,0.9585839509963988
0.05,-0.11,-0.14,0.0022,-0.0033,0.0,-19.6875,10.375,9.5625,435.5728737699099,3.315959930419922,1.9968488216400144,0.9585694670677184
0.01,-0.07,-0.17,0.0022,-0.0033,0.0,-19.6875,10.375,9.5625,435.8562681072655,3.3159546852111816,1.9967610836029053,0.9585129618644714
0.02,-0.02,-0.08,0.0,-0.0022,0.0,-19.6875,10.375,9.5625,435.7559215304401,3.3159241676330566,1.996710181236267,0.9584986567497252
0.01,-0.01,-0.11,0.0,-0.0065,0.0033,-20.375,10.375,8.75,435.7776170666448,3.315924406051636,1.9966968297958372,0.9584360122680664
0.0,0.0,-0.1,-0.0033,0.0022,-0.0011,-20.375,10.375,8.75,435.73829611043226,3.315945625305176,1.996648907661438,0.9584205746650696
-0.02,-0.01,-0.11,-0.0011,0.0109,0.0011,-20.375,10.375,8.75,435.7315184458674,3.31591534614563,1.9966888427734373,0.9583994150161744
0.04,-0.05,-0.13,-0.0033,0.0142,-0.0011,-18.875,10.0,8.75,435.6989753041847,3.3159191608428955,1.9966620206832888,0.9583562612533568
0.05,-0.04,-0.14,0.0033,-0.0065,0.0,-18.875,10.0,8.75,435.6474445342104,3.3159186840057373,1.9966598749160769,0.9583587050437928
0.02,-0.08,-0.12,0.0033,-0.0109,0.0,-18.875,10.0,8.75,435.7369423128036,3.3158934116363525,1.9965996742248533,0.9583457112312316
-0.03,-0.04,-0.15,0.0022,-0.0055,0.0011,-18.875,10.0,8.75,435.79118113907685,3.3158867359161377,1.9965463876724243,0.9583393335342408
0.0,-0.05,-0.13,0.0011,0.0022,-0.0011,-19.6875,10.0,8.75,435.6881276131186,3.315861940383911,1.996503472328186,0.9583154320716858
0.02,-0.02,-0.13,-0.0022,0.0065,0.0,-19.6875,10.0,8.75,435.74236618258806,3.315857172012329,1.996808648109436,0.9583289623260498
0.01,-0.01,-0.12,-0.0011,0.0065,0.0,-19.6875,10.0,8.75,435.70575294735625,3.3158633708953857,1.9967491626739504,0.9583246111869812
0.01,-0.02,-0.1,0.0011,0.0022,0.0,-19.6875,10.0,8.75,435.799312648509,3.315802812576294,1.996402621269226,0.9582887291908264
0.0,-0.03,-0.12,0.0022,-0.0044,-0.0022,-19.6875,10.375,10.375,435.7410123844232,3.315810203552246,1.9965914487838743,0.9582503437995912
-0.02,-0.06,-0.14,0.0033,-0.0076,-0.0022,-19.6875,10.375,10.375,435.830502296989,3.3157734870910645,1.9965840578079224,0.9582346677780152
0.0,-0.06,-0.11,0.0,0.0,-0.0011,-19.6875,10.375,10.375,435.6867738220767,3.315741062164306,1.996288537979126,0.9582017064094543
0.02,-0.05,-0.12,-0.0011,0.0044,0.0,-20.375,10.375,9.5625,435.7369423128036,3.31571102142334,1.996288776397705,0.9581709504127502
0.0,-0.06,-0.1,-0.0022,0.0076,0.0022,-20.375,10.375,9.5625,435.6867738220767,3.315714836120605,1.9965053796768188,0.9581758379936218
-0.01,-0.04,-0.12,0.0,0.0033,0.0011,-20.375,10.375,9.5625,435.68270377186514,3.3156917095184326,1.9964309930801392,0.9581382274627686
0.03,0.0,-0.12,0.0011,-0.0022,0.0011,-20.375,10.375,9.5625,435.6637246890131,3.315637826919556,1.9962238073349,0.958136022090912
0.06,-0.02,-0.1,-0.0011,-0.0022,0.0011,-19.25,10.75,8.375,435.73829611043226,3.315662145614624,1.9963905811309812,0.9581365585327148
0.03,-0.05,-0.14,-0.0011,-0.0022,-0.0011,-19.25,10.75,8.375,435.7844034397484,3.3156301975250244,1.9964499473571775,0.9581403732299804
-0.03,-0.05,-0.12,0.0,-0.0022,0.0,-19.25,10.75,8.375,435.6881276131186,3.3156180381774902,1.996353030204773,0.9581179022789
-0.02,-0.07,-0.15,0.0,-0.0044,0.0011,-19.25,10.75,8.375,435.7410123844232,3.3155786991119385,1.9963682889938357,0.9580960869789124
0.0,-0.03,-0.11,-0.0022,0.0098,-0.0011,-19.25,10.375,8.0625,435.67185609791767,3.315546989440918,1.9964332580566408,0.95809006690979
0.03,-0.01,-0.12,-0.0044,0.0087,0.0,-19.25,10.375,8.0625,435.74236618258806,3.315551280975342,1.9963383674621584,0.9580649137496948
0.02,-0.02,-0.14,0.0,0.0065,0.0011,-19.25,10.375,8.0625,435.73287224278766,3.315544605255127,1.9963432550430296,0.9580398797988892
0.0,-0.04,-0.13,0.0022,-0.0022,0.0,-19.25,10.75,9.875,435.7979588428671,3.3154804706573486,1.9963961839675903,0.9580024480819702
0.01,-0.06,-0.1,0.0022,-0.0022,0.0,-19.25,10.75,9.875,435.74236618258806,3.3154613971710205,1.996367692947388,0.9579864740371704
0.0,-0.04,-0.14,-0.0022,0.0011,0.0011,-19.25,10.75,9.875,435.76135408842254,3.3153998851776123,1.9963992834091189,0.9579553008079528
0.01,-0.03,-0.1,-0.0011,0.0076,0.0,-19.25,10.75,9.875,435.69355145722506,3.3153645992279053,1.9963934421539309,0.9579400420188904
0.02,-0.02,-0.08,-0.0022,0.0044,0.0,-19.6875,10.0,10.375,435.7179631301028,3.315368413925171,1.996344327926636,0.9579166769981384
-0.03,-0.04,-0.11,-0.0011,0.0044,-0.0011,-19.6875,10.0,10.375,435.7776170666448,3.315324306488037,1.9963749647140503,0.957931101322174
-0.04,-0.06,-0.14,0.0033,0.0011,-0.0011,-19.6875,10.0,10.375,435.8508441775511,3.3153417110443115,1.996304035186768,0.957915186882019
0.03,-0.06,-0.15,-0.0022,0.0,0.0,-19.6875,10.0,10.375,435.6176178993859,3.3152663707733154,1.996286153793335,0.9578791856765748
0.03,-0.04,-0.11,0.0011,-0.0044,0.0,-19.25,9.5625,9.1875,435.86576216069307,3.315269947052002,1.9962410926818848,0.957862377166748
0.0,-0.02,-0.11,-0.0011,-0.0055,0.0011,-19.25,9.5625,9.1875,435.6840575623758,3.3152201175689697,1.9962501525878904,0.9578534960746764
0.01,-0.04,-0.12,0.0,0.0,0.0011,-19.25,9.5625,9.1875,435.9308495997173,3.315189838409424,1.996268391609192,0.9578347206115724
0.02,-0.04,-0.12,0.0011,0.0033,0.0011,-18.5625,11.0625,8.75,435.86576216069307,3.3151583671569824,1.9962527751922607,0.9578098058700562
0.01,-0.03,-0.14,-0.0011,0.0055,-0.0022,-18.5625,11.0625,8.75,435.7084692127731,3.315116167068481,1.9962685108184812,0.9577810764312744
0.01,-0.05,-0.11,0.0,0.0022,-0.0022,-18.5625,11.0625,8.75,435.5891451288936,3.3151040077209477,1.9961795806884768,0.9577458500862122
0.01,-0.05,-0.13,0.0033,-0.0044,0.0022,-18.5625,11.0625,8.75,435.8671159752436,3.31510591506958,1.9962027072906492,0.9577388763427734
0.01,-0.04,-0.11,0.0,-0.0011,0.0,-18.875,10.75,8.75,435.6515145705007,3.315096378326416,1.996190071105957,0.9576982855796814
-0.01,-0.04,-0.09,0.0,-0.0011,0.0,-18.875,10.75,8.75,435.631181761318,3.3150782585144043,1.9959450960159304,0.9576659202575684
0.0,-0.03,-0.12,0.0,0.0,0.0011,-18.875,10.75,8.75,435.55660243660407,3.3150455951690674,1.9959028959274288,0.9576361775398254
0.01,-0.03,-0.11,0.0011,0.0022,0.0033,-18.875,10.75,8.75,435.8576219205616,3.315051555633545,1.9959709644317627,0.957598090171814
0.0,-0.04,-0.12,0.0011,0.0033,-0.0011,-19.25,10.0,9.1875,435.610840314152,3.3150601387023926,1.9959793090820312,0.9575676321983336
0.01,-0.06,-0.14,0.0011,0.0033,-0.0011,-19.25,10.0,9.1875,435.7789795478426,3.315060615539551,1.9960319995880127,0.9575175642967224
0.0,-0.02,-0.13,0.0,-0.0044,-0.0022,-19.25,10.0,9.1875,435.745073779454,3.315051555633545,1.9960341453552248,0.9574636816978456
0.01,-0.06,-0.12,0.0022,-0.0044,0.0011,-19.25,10.0,9.1875,435.7708393762298,3.31508469581604,1.995914459228516,0.9574386477470398
0.01,-0.03,-0.11,0.0,0.0011,0.0022,-19.6875,10.375,9.5625,435.67592614384455,3.315103769302368,1.9959635734558103,0.9573952555656432
-0.01,-0.03,-0.11,0.0,0.0011,0.0022,-19.6875,10.375,9.5625,435.7776170666448,3.315092802047729,1.995949149131775,0.957338809967041
